iteration,train_loss,train_accuracy,train_precision_macro,weight_norm_l2,weight_update_norm_l2,test_loss,test_accuracy,test_precision_macro,test_precision_Adelie,test_precision_Chinstrap,test_precision_Gentoo
70,0.100235,0.979079,0.984985,0.947794,0.00057,0.10589,0.990291,0.992754,0.978261,1.0,1.0
71,0.100232,0.979079,0.984985,0.947986,0.00055,0.105894,0.990291,0.992754,0.978261,1.0,1.0
72,0.10023,0.979079,0.984985,0.948167,0.000531,0.105899,0.990291,0.992754,0.978261,1.0,1.0
73,0.100227,0.979079,0.984985,0.948338,0.000514,0.105903,0.990291,0.992754,0.978261,1.0,1.0
74,0.100224,0.979079,0.984985,0.948499,0.000497,0.105909,0.990291,0.992754,0.978261,1.0,1.0
75,0.100222,0.979079,0.984985,0.948652,0.000481,0.105914,0.990291,0.992754,0.978261,1.0,1.0
76,0.10022,0.979079,0.984985,0.948795,0.000465,0.10592,0.990291,0.992754,0.978261,1.0,1.0
77,0.100218,0.979079,0.984985,0.948931,0.000451,0.105926,0.990291,0.992754,0.978261,1.0,1.0
78,0.100216,0.979079,0.984985,0.949059,0.000437,0.105932,0.990291,0.992754,0.978261,1.0,1.0
79,0.100214,0.979079,0.984985,0.949181,0.000424,0.105939,0.990291,0.992754,0.978261,1.0,1.0
80,0.100213,0.979079,0.984985,0.949296,0.000412,0.105945,0.990291,0.992754,0.978261,1.0,1.0
81,0.100211,0.979079,0.984985,0.949404,0.0004,0.105952,0.990291,0.992754,0.978261,1.0,1.0
82,0.10021,0.979079,0.984985,0.949507,0.000388,0.105959,0.990291,0.992754,0.978261,1.0,1.0
83,0.100208,0.979079,0.984985,0.949605,0.000377,0.105966,0.990291,0.992754,0.978261,1.0,1.0
84,0.100207,0.979079,0.984985,0.949697,0.000367,0.105972,0.990291,0.992754,0.978261,1.0,1.0
85,0.100206,0.979079,0.984985,0.949785,0.000357,0.105979,0.990291,0.992754,0.978261,1.0,1.0
86,0.100205,0.979079,0.984985,0.949868,0.000347,0.105986,0.990291,0.992754,0.978261,1.0,1.0
87,0.100203,0.979079,0.984985,0.949947,0.000337,0.105993,0.990291,0.992754,0.978261,1.0,1.0
88,0.100202,0.979079,0.984985,0.950022,0.000328,0.106,0.990291,0.992754,0.978261,1.0,1.0
89,0.100201,0.979079,0.984985,0.950094,0.00032,0.106007,0.990291,0.992754,0.978261,1.0,1.0
90,0.1002,0.979079,0.984985,0.950162,0.000311,0.106014,0.990291,0.992754,0.978261,1.0,1.0
91,0.100199,0.979079,0.984985,0.950226,0.000303,0.106021,0.990291,0.992754,0.978261,1.0,1.0
92,0.100199,0.979079,0.984985,0.950288,0.000295,0.106028,0.990291,0.992754,0.978261,1.0,1.0
93,0.100198,0.979079,0.984985,0.950346,0.000288,0.106035,0.990291,0.992754,0.978261,1.0,1.0
94,0.100197,0.979079,0.984985,0.950402,0.00028,0.106042,0.990291,0.992754,0.978261,1.0,1.0
95,0.100196,0.979079,0.984985,0.950455,0.000273,0.106048,0.990291,0.992754,0.978261,1.0,1.0
96,0.100196,0.979079,0.984985,0.950506,0.000266,0.106055,0.990291,0.992754,0.978261,1.0,1.0
97,0.100195,0.979079,0.984985,0.950554,0.00026,0.106062,0.990291,0.992754,0.978261,1.0,1.0
98,0.100194,0.979079,0.984985,0.950601,0.000253,0.106068,0.990291,0.992754,0.978261,1.0,1.0
99,0.100194,0.979079,0.984985,0.950645,0.000247,0.106075,0.990291,0.992754,0.978261,1.0,1.0
100,0.100193,0.979079,0.984985,0.950687,0.000241,0.106081,0.990291,0.992754,0.978261,1.0,1.0
